customer_id,last_purchase_date,recency_days,frequency,monetary,avg_basket_value,n_transactions,segment,city
37,2025-12-27,4,71,1074398.59,14136.82,76,Budget,Sydney
38,2025-12-24,7,58,644591.5,10925.28,59,Premium,Adelaide
39,2025-12-28,3,69,682087.25,9744.1,70,Budget,Brisbane
40,2025-12-30,1,74,617264.79,7813.48,79,Regular,Adelaide
41,2025-12-28,3,74,578528.42,7323.14,79,Budget,Melbourne
42,2025-12-29,2,66,600045.61,8696.31,69,Premium,Sydney
43,2025-12-30,1,74,995226.7,12440.33,80,Budget,Brisbane
44,2025-12-24,7,71,720058.63,9474.46,76,Budget,Sydney
45,2025-12-25,6,72,651785.92,8576.13,76,Regular,Brisbane
46,2025-12-22,9,58,638899.65,9829.23,65,Premium,Melbourne
47,2025-12-25,6,68,397669.07,5523.18,72,Premium,Adelaide
48,2025-12-15,16,71,752348.1,9899.32,76,Regular,Adelaide
49,2025-12-20,11,66,647823.13,9388.74,69,Premium,Melbourne
50,2025-12-28,3,59,583138.2,9256.16,63,Premium,Adelaide
51,2025-11-30,31,77,1010574.7,12476.23,81,Regular,Sydney
52,2025-12-27,4,61,1032428.63,16131.7,64,Budget,Sydney
53,2025-12-31,0,58,512081.56,8259.38,62,Regular,Adelaide
54,2025-12-06,25,58,518916.61,8506.83,61,Regular,Brisbane
55,2025-12-22,9,68,844074.99,12232.97,69,Budget,Melbourne
56,2025-12-24,7,64,428956.64,6599.33,65,Budget,Sydney
57,2025-12-19,12,69,521308.82,7342.38,71,Regular,Melbourne
58,2025-12-25,6,54,768027.84,13714.78,56,Budget,Brisbane
59,2025-12-30,1,70,838188.28,11641.5,72,Premium,Adelaide
60,2025-12-25,6,70,556155.65,7515.62,74,Budget,Adelaide
61,2025-12-19,12,65,537571.1,7790.89,69,Budget,Melbourne
62,2025-12-11,20,64,400850.41,6166.93,65,Regular,Melbourne
63,2025-12-31,0,60,589421.63,9068.03,65,Budget,Sydney
64,2025-12-19,12,77,1013211.78,12062.05,84,Budget,Sydney
65,2025-12-29,2,93,896349.61,9336.98,96,Regular,Melbourne
66,2025-12-30,1,85,1703667.01,18929.63,90,Premium,Brisbane
67,2025-12-27,4,79,559400.06,6659.52,84,Budget,Sydney
68,2025-12-28,3,69,513479.21,7441.73,69,Budget,Melbourne
69,2025-12-21,10,62,497587.78,7898.22,63,Regular,Brisbane
70,2025-12-31,0,75,1344211.3,16802.64,80,Premium,Adelaide
71,2025-12-25,6,74,770945.79,9758.81,79,Regular,Adelaide
72,2025-12-14,17,63,654934.1,10233.35,64,Budget,Melbourne
73,2025-12-25,6,72,701556.69,9231.01,76,Budget,Melbourne
74,2025-12-30,1,65,528106.43,7882.19,67,Budget,Adelaide
75,2025-12-28,3,57,388808.53,6703.6,58,Budget,Brisbane
76,2025-12-14,17,76,1095604.03,14228.62,77,Regular,Melbourne
77,2025-12-24,7,72,1281999.52,16868.41,76,Budget,Brisbane
78,2025-12-22,9,76,625421.23,7817.77,80,Regular,Sydney
79,2025-12-30,1,79,1004189.34,12246.21,82,Regular,Melbourne
80,2025-12-09,22,64,720282.06,10913.36,66,Regular,Melbourne
81,2025-11-19,42,63,589942.46,8805.11,67,Budget,Adelaide
82,2025-12-30,1,78,1084606.57,12911.98,84,Regular,Sydney
83,2025-12-26,5,81,740590.5,8922.78,83,Regular,Adelaide
84,2025-12-28,3,70,733927.22,10193.43,72,Regular,Melbourne
85,2025-12-30,1,62,1028717.34,15826.42,65,Budget,Sydney
86,2025-12-31,0,70,657729.94,8769.73,75,Budget,Brisbane
87,2025-12-20,11,77,543702.55,6712.38,81,Premium,Brisbane
88,2025-12-11,20,69,932581.3,12434.42,75,Budget,Sydney
89,2025-12-26,5,74,1426445.05,18056.27,79,Budget,Sydney
90,2025-12-17,14,78,1137583.22,13705.82,83,Regular,Sydney
91,2025-12-28,3,63,774973.28,11396.67,68,Regular,Melbourne
92,2025-12-25,6,69,1071613.4,15093.15,71,Premium,Sydney
93,2025-12-24,7,67,586557.34,8379.39,70,Budget,Brisbane
94,2025-12-13,18,67,871098.92,12269.0,71,Premium,Sydney
95,2025-12-04,27,63,668901.57,9983.61,67,Budget,Adelaide
96,2025-12-27,4,77,1119064.75,14346.98,78,Regular,Adelaide
97,2025-12-27,4,62,580842.75,9219.73,63,Regular,Brisbane
98,2025-12-24,7,78,1349620.27,15336.59,88,Budget,Adelaide
99,2025-12-25,6,89,1084845.69,11540.91,94,Budget,Adelaide
100,2025-12-27,4,61,313304.39,4747.04,66,Regular,Sydney
101,2025-12-01,30,70,921648.45,12800.67,72,Premium,Melbourne
102,2025-12-30,1,60,331405.4,5432.88,61,Regular,Adelaide
103,2025-12-23,8,45,649044.29,14109.66,46,Premium,Melbourne
104,2025-12-30,1,84,797127.94,9162.39,87,Regular,Brisbane
105,2025-12-20,11,67,729155.24,10269.79,71,Regular,Adelaide
106,2025-12-24,7,64,320558.76,4784.46,67,Regular,Adelaide
107,2025-12-29,2,69,519278.09,7313.78,71,Budget,Melbourne
108,2025-12-24,7,70,1047166.6,13962.22,75,Budget,Melbourne
109,2025-12-23,8,67,504524.64,7207.49,70,Regular,Sydney
110,2025-12-29,2,62,615080.13,9610.63,64,Regular,Melbourne
111,2025-12-20,11,71,975118.17,13177.27,74,Budget,Melbourne
112,2025-12-15,16,67,734768.64,10966.7,67,Regular,Melbourne
113,2025-12-30,1,71,788594.41,10952.7,72,Regular,Melbourne
114,2025-12-31,0,71,927674.12,12368.99,75,Premium,Adelaide
115,2025-12-12,19,65,631935.04,9431.87,67,Regular,Adelaide
116,2025-12-14,17,62,785153.0,12268.02,64,Regular,Brisbane
117,2025-12-28,3,74,1069219.44,13707.94,78,Budget,Sydney
118,2025-12-24,7,71,464320.42,6360.55,73,Regular,Melbourne
119,2025-12-14,17,55,335853.47,5790.58,58,Regular,Brisbane
120,2025-12-22,9,59,742599.46,11977.41,62,Premium,Sydney
121,2025-12-21,10,69,1221831.84,16737.42,73,Regular,Melbourne
122,2025-12-22,9,57,313227.24,4971.86,63,Budget,Brisbane
123,2025-12-30,1,87,977635.53,10862.62,90,Budget,Adelaide
124,2025-12-25,6,65,553098.34,8255.2,67,Regular,Adelaide
125,2025-12-31,0,63,491975.7,7342.92,67,Regular,Melbourne
126,2025-12-13,18,87,1154640.92,12829.34,90,Budget,Melbourne
127,2025-12-10,21,66,332533.85,4750.48,70,Budget,Melbourne
128,2025-12-20,11,70,889662.4,12530.46,71,Regular,Brisbane
129,2025-12-28,3,71,428382.18,5636.61,76,Budget,Melbourne
130,2025-12-18,13,76,618365.9,7927.77,78,Regular,Melbourne
131,2025-12-30,1,76,688109.54,8936.49,77,Budget,Sydney
132,2025-12-31,0,68,1103474.88,15116.09,73,Budget,Melbourne
133,2025-12-16,15,66,863641.57,12163.97,71,Premium,Sydney
134,2025-12-29,2,59,742650.28,11978.23,62,Budget,Brisbane
135,2025-12-31,0,73,957869.85,12771.6,75,Budget,Adelaide
136,2025-12-08,23,64,723169.62,10480.72,69,Budget,Adelaide
137,2025-12-16,15,70,704118.18,9515.11,74,Budget,Melbourne
138,2025-12-22,9,72,1095012.08,14797.46,74,Budget,Adelaide
139,2025-12-31,0,76,681912.29,8418.67,81,Budget,Adelaide
140,2025-12-27,4,54,671100.1,11570.69,58,Budget,Melbourne
141,2025-12-26,5,73,522166.23,6962.22,75,Budget,Adelaide
142,2025-12-29,2,100,868220.29,8039.08,108,Regular,Melbourne
143,2025-12-21,10,75,1034433.35,13094.09,79,Regular,Adelaide
144,2025-12-31,0,68,1186240.51,16475.56,72,Budget,Melbourne
145,2025-12-17,14,61,351204.06,5664.58,62,Budget,Melbourne
146,2025-12-29,2,64,972296.63,14298.48,68,Regular,Sydney
147,2025-12-28,3,58,467033.04,8052.29,58,Premium,Adelaide
148,2025-12-15,16,69,571152.57,8044.4,71,Premium,Melbourne
149,2025-12-01,30,50,280852.32,5506.91,51,Budget,Adelaide
150,2025-12-26,5,76,793694.08,10307.72,77,Budget,Sydney
151,2025-12-29,2,55,443619.57,7782.8,57,Budget,Brisbane
152,2025-12-25,6,70,607707.18,8324.76,73,Budget,Melbourne
153,2025-12-22,9,61,430703.8,6729.75,64,Regular,Melbourne
154,2025-12-26,5,87,534516.29,5873.81,91,Regular,Sydney
155,2025-11-29,32,70,664418.87,8978.63,74,Budget,Sydney
156,2025-11-28,33,69,862896.92,11984.68,72,Budget,Melbourne
157,2025-11-25,36,76,784707.39,9808.84,80,Regular,Melbourne
158,2025-11-23,38,69,703763.25,9510.31,74,Budget,Adelaide
159,2025-12-23,8,74,1029414.22,13544.92,76,Regular,Melbourne
160,2025-12-08,23,67,368129.72,5413.67,68,Budget,Sydney
161,2025-12-19,12,77,783372.5,9792.16,80,Premium,Melbourne
162,2025-12-07,24,65,663388.91,9901.33,67,Budget,Brisbane
163,2025-12-12,19,66,939741.76,13819.73,68,Regular,Melbourne
164,2025-12-22,9,69,306020.09,4435.07,69,Premium,Adelaide
165,2025-12-30,1,58,546225.43,9103.76,60,Premium,Melbourne
166,2025-12-29,2,56,1135969.94,19253.73,59,Regular,Brisbane
167,2025-12-24,7,63,644684.08,9622.15,67,Regular,Sydney
168,2025-12-31,0,69,1082583.45,14244.52,76,Regular,Sydney
169,2025-12-29,2,65,998886.22,14908.75,67,Regular,Adelaide
170,2025-12-28,3,67,623737.28,8910.53,70,Budget,Melbourne
171,2025-12-24,7,62,542864.44,8225.22,66,Regular,Melbourne
172,2025-12-24,7,70,732200.46,10169.45,72,Regular,Brisbane
173,2025-12-25,6,69,782291.09,10430.55,75,Premium,Sydney
174,2025-12-20,11,65,536965.02,7896.54,68,Regular,Brisbane
175,2025-12-18,13,65,733860.69,11119.1,66,Budget,Melbourne
176,2025-12-06,25,58,591605.2,9542.02,62,Regular,Sydney
177,2025-12-28,3,67,758062.84,10829.47,70,Budget,Melbourne
178,2025-12-26,5,64,828707.99,11671.94,71,Budget,Melbourne
179,2025-12-05,26,55,692995.47,11948.2,58,Regular,Sydney
180,2025-12-28,3,75,720899.73,9125.31,79,Regular,Brisbane
181,2025-12-28,3,62,415234.13,6488.03,64,Budget,Brisbane
182,2025-12-26,5,68,759049.29,11000.71,69,Budget,Melbourne
183,2025-12-15,16,62,827643.15,12732.97,65,Budget,Adelaide
184,2025-12-27,4,85,1138933.51,12942.43,88,Budget,Brisbane
185,2025-12-22,9,66,662183.1,9326.52,71,Budget,Adelaide
186,2025-12-31,0,67,1072076.75,15315.38,70,Regular,Sydney
187,2025-12-30,1,80,1177613.4,14019.21,84,Budget,Adelaide
188,2025-12-28,3,66,741342.94,11064.82,67,Premium,Melbourne
189,2025-12-24,7,68,345420.46,4865.08,71,Premium,Brisbane
190,2025-12-28,3,66,618590.76,9096.92,68,Regular,Adelaide
191,2025-12-27,4,78,595859.77,7448.25,80,Budget,Melbourne
192,2025-12-28,3,61,625521.76,9928.92,63,Regular,Melbourne
193,2025-12-19,12,61,538253.28,8280.82,65,Regular,Sydney
194,2025-12-25,6,65,727709.58,10546.52,69,Regular,Brisbane
195,2025-12-28,3,66,1451909.93,21351.62,68,Regular,Adelaide
196,2025-12-30,1,84,767363.95,8432.57,91,Regular,Melbourne
197,2025-12-19,12,60,329042.94,5307.14,62,Regular,Sydney
198,2025-12-29,2,70,679268.87,9056.92,75,Budget,Melbourne
199,2025-12-13,18,64,855989.48,12775.96,67,Regular,Melbourne
200,2025-12-29,2,65,545966.18,8028.91,68,Budget,Adelaide
201,2025-12-18,13,71,573578.29,7857.24,73,Regular,Sydney
202,2025-12-14,17,68,1035529.29,14584.92,71,Premium,Melbourne
203,2025-12-09,22,67,553153.02,8016.71,69,Budget,Brisbane
204,2025-12-25,6,70,645041.9,8958.92,72,Regular,Sydney
205,2025-12-24,7,69,878259.02,11868.37,74,Budget,Adelaide
206,2025-12-07,24,77,1060526.05,12933.24,82,Regular,Adelaide
207,2025-12-26,5,72,511591.38,6913.4,74,Budget,Melbourne
208,2025-12-30,1,55,598713.54,10503.75,57,Premium,Brisbane
209,2025-12-03,28,54,619633.65,10870.77,57,Budget,Adelaide
210,2025-11-28,33,63,579220.17,8517.94,68,Premium,Brisbane
211,2025-12-29,2,77,722695.1,8813.35,82,Regular,Sydney
212,2025-12-26,5,66,691645.25,9606.18,72,Regular,Sydney
213,2025-12-31,0,69,636497.09,8601.31,74,Regular,Melbourne
214,2025-12-07,24,69,563224.89,7932.74,71,Regular,Sydney
215,2025-12-31,0,74,871688.56,11034.03,79,Premium,Melbourne
216,2025-12-18,13,60,305245.45,4923.31,62,Budget,Brisbane
217,2025-12-28,3,78,1260912.0,15761.4,80,Regular,Brisbane
218,2025-12-14,17,69,691686.04,9475.15,73,Budget,Sydney
219,2025-12-18,13,70,752521.99,10169.22,74,Regular,Sydney
220,2025-12-23,8,59,815131.95,12540.49,65,Budget,Sydney
221,2025-12-27,4,80,842689.58,10032.02,84,Regular,Melbourne
222,2025-12-28,3,70,661906.34,8709.29,76,Regular,Adelaide
223,2025-12-30,1,63,475447.84,7203.76,66,Regular,Melbourne
224,2025-12-12,19,71,526192.55,6923.59,76,Regular,Melbourne
225,2025-12-26,5,72,1105678.62,14359.46,77,Regular,Brisbane
226,2025-12-22,9,72,732699.23,9901.34,74,Regular,Sydney
227,2025-12-04,27,68,490581.35,6720.29,73,Regular,Sydney
228,2025-12-30,1,58,588725.49,10150.44,58,Regular,Sydney
229,2025-12-27,4,67,456431.43,6712.23,68,Premium,Brisbane
230,2025-12-29,2,74,1127490.85,14835.41,76,Budget,Melbourne
231,2025-12-23,8,52,688967.35,12999.38,53,Budget,Brisbane
232,2025-12-25,6,64,1294787.76,19041.0,68,Budget,Brisbane
233,2025-12-23,8,58,916527.07,15025.03,61,Regular,Melbourne
234,2025-12-22,9,62,525363.15,8082.51,65,Regular,Adelaide
235,2025-12-28,3,64,951324.17,14198.87,67,Regular,Adelaide
236,2025-12-06,25,56,896611.95,14461.48,62,Regular,Sydney
237,2025-12-15,16,79,947329.31,11413.61,83,Budget,Adelaide
238,2025-12-31,0,62,649772.78,10313.85,63,Premium,Sydney
239,2025-12-16,15,78,1023547.99,12185.1,84,Regular,Sydney
240,2025-12-29,2,66,642306.29,9445.68,68,Budget,Brisbane
241,2025-12-04,27,70,984194.23,13299.92,74,Budget,Sydney
242,2025-12-08,23,64,761655.23,11367.99,67,Budget,Melbourne
243,2025-12-11,20,62,741429.65,10903.38,68,Budget,Sydney
244,2025-12-29,2,69,647931.48,8099.14,80,Budget,Melbourne
245,2025-12-22,9,64,1092148.78,16547.71,66,Premium,Adelaide
246,2025-11-30,31,65,828099.96,12359.7,67,Regular,Adelaide
247,2025-12-10,21,78,747388.07,9114.49,82,Budget,Sydney
248,2025-12-28,3,66,1082895.71,15694.14,69,Regular,Brisbane
249,2025-12-27,4,75,388559.81,5046.23,77,Regular,Melbourne
250,2025-12-30,1,59,723070.6,11477.31,63,Premium,Melbourne
251,2025-11-28,33,79,952413.53,11614.8,82,Regular,Brisbane
252,2025-12-03,28,76,798619.21,10109.1,79,Regular,Adelaide
253,2025-12-17,14,70,710503.93,9601.4,74,Budget,Melbourne
254,2025-12-23,8,94,777880.58,7937.56,98,Premium,Sydney
255,2025-12-17,14,73,527946.17,6682.86,79,Regular,Adelaide
256,2025-12-28,3,56,531064.86,8705.98,61,Premium,Adelaide
257,2025-12-19,12,75,854702.84,10957.73,78,Budget,Melbourne
258,2025-12-24,7,62,673900.19,10367.7,65,Premium,Brisbane
259,2025-12-05,26,80,808694.82,9743.31,83,Regular,Adelaide
260,2025-12-31,0,74,949640.32,12332.99,77,Budget,Brisbane
261,2025-12-24,7,75,595895.56,7542.98,79,Regular,Melbourne
262,2025-12-24,7,71,938103.2,12850.73,73,Regular,Adelaide
263,2025-12-13,18,66,1052335.37,15251.24,69,Budget,Adelaide
264,2025-12-29,2,77,670840.55,8385.51,80,Regular,Brisbane
265,2025-12-29,2,70,1125657.25,15854.33,71,Regular,Sydney
266,2025-12-28,3,67,662552.18,9465.03,70,Budget,Melbourne
267,2025-12-28,3,81,1314811.45,14941.04,88,Regular,Brisbane
268,2025-12-27,4,68,683899.26,9368.48,73,Regular,Melbourne
269,2025-12-27,4,70,580507.51,8062.6,72,Budget,Brisbane
270,2025-12-27,4,61,610842.16,9695.91,63,Premium,Brisbane
271,2025-12-27,4,75,880071.9,11140.15,79,Regular,Sydney
272,2025-11-26,35,74,1047760.56,13432.83,78,Budget,Brisbane
273,2025-12-30,1,76,1271112.39,16090.03,79,Premium,Brisbane
274,2025-12-24,7,63,618223.33,9227.21,67,Premium,Sydney
275,2025-12-19,12,70,706486.33,9419.82,75,Budget,Brisbane
276,2025-12-21,10,70,505007.79,6824.43,74,Regular,Brisbane
277,2025-11-30,31,64,523293.16,8050.66,65,Budget,Sydney
278,2025-12-30,1,78,1718403.65,20457.19,84,Premium,Brisbane
279,2025-12-19,12,69,344602.01,4922.89,70,Regular,Melbourne
280,2025-12-30,1,82,777534.0,8937.17,87,Regular,Melbourne
281,2025-12-09,22,85,621566.95,7063.26,88,Budget,Brisbane
282,2025-12-12,19,64,918640.16,13918.79,66,Premium,Sydney
283,2025-12-28,3,72,1156191.6,15838.24,73,Budget,Sydney
284,2025-12-24,7,68,909980.87,13188.13,69,Budget,Melbourne
285,2025-12-28,3,49,999046.22,18849.93,53,Budget,Adelaide
286,2025-12-23,8,70,1301829.1,17357.72,75,Regular,Sydney
287,2025-12-27,4,75,874638.79,11071.38,79,Budget,Adelaide
288,2025-12-28,3,73,769975.27,10131.25,76,Premium,Sydney
289,2025-11-24,37,62,999009.52,15369.38,65,Regular,Melbourne
290,2025-12-24,7,73,598352.25,7978.03,75,Budget,Melbourne
291,2025-12-24,7,61,614606.68,9173.23,67,Budget,Melbourne
292,2025-12-29,2,71,578040.85,7811.36,74,Budget,Sydney
293,2025-12-25,6,70,873239.5,12299.15,71,Regular,Adelaide
294,2025-12-18,13,72,944063.16,12757.61,74,Regular,Melbourne
295,2025-12-28,3,66,1059133.26,15349.76,69,Budget,Adelaide
296,2025-12-30,1,79,669021.99,7964.55,84,Regular,Brisbane
297,2025-12-07,24,65,808886.31,11895.39,68,Budget,Brisbane
298,2025-12-30,1,60,796469.9,13274.5,60,Regular,Melbourne
299,2025-12-27,4,81,1439530.44,16174.5,89,Premium,Brisbane
300,2025-12-30,1,67,500138.05,6946.36,72,Regular,Adelaide
301,2025-12-18,13,79,719869.89,8569.88,84,Regular,Adelaide
302,2025-12-20,11,68,1014758.4,14496.55,70,Regular,Adelaide
303,2025-12-13,18,67,969150.11,13650.0,71,Budget,Sydney
304,2025-12-29,2,72,655137.92,9099.14,72,Budget,Brisbane
305,2025-11-02,59,72,987039.63,13521.09,73,Budget,Melbourne
306,2025-12-31,0,75,872562.24,11331.98,77,Regular,Adelaide
307,2025-12-29,2,61,602406.3,9562.0,63,Regular,Adelaide
308,2025-12-11,20,87,725471.19,7800.77,93,Regular,Adelaide
309,2025-12-24,7,66,833310.32,12437.47,67,Premium,Sydney
310,2025-12-29,2,69,509361.21,6702.12,76,Budget,Melbourne
311,2025-12-29,2,72,605347.39,8071.3,75,Regular,Brisbane
312,2025-12-31,0,54,1063612.3,18659.86,57,Budget,Brisbane
313,2025-12-27,4,65,942762.48,13468.04,70,Budget,Melbourne
314,2025-12-31,0,76,1553251.46,19175.94,81,Regular,Sydney
315,2025-12-06,25,73,706530.46,9175.72,77,Premium,Sydney
316,2025-12-25,6,80,1308943.85,14874.36,88,Regular,Brisbane
317,2025-12-26,5,67,917779.74,13496.76,68,Budget,Melbourne
318,2025-12-26,5,73,1185144.89,15001.83,79,Regular,Melbourne
319,2025-12-24,7,85,647805.27,7118.74,91,Budget,Adelaide
320,2025-12-17,14,67,574848.01,7984.0,72,Premium,Sydney
321,2025-12-31,0,76,1054702.59,13183.78,80,Regular,Adelaide
322,2025-12-25,6,89,1437723.27,15459.39,93,Budget,Melbourne
323,2025-12-21,10,70,567765.92,7996.7,71,Budget,Adelaide
324,2025-12-13,18,60,617095.52,9795.17,63,Budget,Adelaide
325,2025-12-27,4,71,597590.15,7967.87,75,Premium,Brisbane
326,2025-12-20,11,67,732227.08,10169.82,72,Regular,Melbourne
327,2025-12-28,3,83,770447.7,8560.53,90,Regular,Sydney
328,2025-12-20,11,56,579427.78,10165.4,57,Regular,Sydney
329,2025-12-21,10,49,398881.82,7821.21,51,Regular,Adelaide
330,2025-12-27,4,79,782799.36,9431.32,83,Budget,Sydney
331,2025-12-23,8,65,541942.82,7423.87,73,Premium,Melbourne
332,2025-12-07,24,68,575298.37,7471.41,77,Budget,Melbourne
333,2025-12-16,15,77,1023391.09,12792.39,80,Regular,Brisbane
334,2025-12-21,10,58,677392.94,10925.69,62,Regular,Adelaide
335,2025-12-23,8,64,442643.52,6415.12,69,Regular,Brisbane
336,2025-12-29,2,73,716250.63,9811.65,73,Premium,Adelaide
337,2025-12-23,8,74,932365.16,11953.4,78,Budget,Brisbane
338,2025-12-28,3,84,1068127.67,12137.81,88,Regular,Melbourne
339,2025-12-18,13,63,520848.68,8013.06,65,Regular,Sydney
340,2025-12-30,1,77,514934.91,6279.69,82,Regular,Sydney
341,2025-12-10,21,68,602350.42,8605.01,70,Budget,Melbourne
342,2025-12-16,15,59,639565.87,10484.69,61,Budget,Sydney
343,2025-12-28,3,57,890798.45,13918.73,64,Budget,Melbourne
344,2025-12-15,16,66,496836.46,7200.53,69,Budget,Melbourne
345,2025-12-21,10,69,570453.94,7922.97,72,Regular,Melbourne
346,2025-12-30,1,67,671538.46,9732.44,69,Regular,Adelaide
347,2025-12-22,9,69,607025.41,8671.79,70,Regular,Adelaide
348,2025-12-31,0,65,461409.49,6886.71,67,Regular,Brisbane
349,2025-12-27,4,83,963601.73,11336.49,85,Regular,Sydney
350,2025-12-24,7,72,827741.23,11036.55,75,Budget,Melbourne
351,2025-12-26,5,71,840083.11,11201.11,75,Regular,Brisbane
352,2025-12-29,2,71,940337.65,12372.86,76,Budget,Brisbane
353,2025-12-19,12,57,599839.97,9997.33,60,Budget,Melbourne
354,2025-12-17,14,69,596897.73,8290.25,72,Regular,Melbourne
355,2025-12-05,26,63,760663.41,11024.11,69,Regular,Melbourne
356,2025-12-27,4,71,689414.59,9316.41,74,Budget,Brisbane
357,2025-12-04,27,68,973442.05,14107.86,69,Regular,Sydney
358,2025-12-27,4,65,999665.12,14700.96,68,Regular,Brisbane
359,2025-12-25,6,76,976817.52,12523.3,78,Regular,Sydney
360,2025-12-31,0,64,424493.86,6335.73,67,Regular,Brisbane
361,2025-12-27,4,88,1133084.48,11802.96,96,Regular,Adelaide
362,2025-11-23,38,64,1118494.91,16210.07,69,Budget,Brisbane
363,2025-12-25,6,76,751894.44,9398.68,80,Regular,Melbourne
364,2025-12-29,2,80,1011577.99,12042.6,84,Regular,Adelaide
365,2025-12-23,8,72,528437.57,7045.83,75,Regular,Brisbane
366,2025-12-19,12,69,982219.68,13455.06,73,Regular,Melbourne
367,2025-12-16,15,72,462410.87,6334.4,73,Budget,Sydney
368,2025-12-14,17,59,530099.56,8690.16,61,Regular,Sydney
369,2025-12-31,0,76,981921.42,12429.39,79,Regular,Sydney
370,2025-12-24,7,74,900733.93,11401.7,79,Premium,Sydney
371,2025-12-21,10,72,709252.98,9332.28,76,Premium,Brisbane
372,2025-12-27,4,67,500998.52,6862.99,73,Regular,Brisbane
373,2025-12-27,4,81,783099.55,9212.94,85,Regular,Adelaide
374,2025-12-26,5,61,612065.85,9563.53,64,Regular,Brisbane
375,2025-12-22,9,81,1193760.44,14211.43,84,Budget,Adelaide
376,2025-12-24,7,75,1058336.22,13229.2,80,Regular,Brisbane
377,2025-12-26,5,67,777458.38,10798.03,72,Regular,Melbourne
378,2025-11-24,37,62,479269.74,7261.66,66,Budget,Brisbane
379,2025-12-24,7,66,782417.55,11339.38,69,Budget,Melbourne
380,2025-12-25,6,72,676037.29,8667.14,78,Regular,Melbourne
381,2025-12-18,13,61,619263.89,9527.14,65,Budget,Melbourne
382,2025-12-27,4,57,1072541.2,18178.66,59,Budget,Brisbane
383,2025-12-21,10,68,455578.31,6156.46,74,Budget,Melbourne
384,2025-12-21,10,59,243510.56,3991.98,61,Budget,Brisbane
385,2025-12-15,16,57,401873.04,6811.41,59,Budget,Adelaide
386,2025-12-23,8,60,786690.9,12292.05,64,Regular,Melbourne
387,2025-11-20,41,73,763986.68,10052.46,76,Budget,Melbourne
388,2025-12-06,25,80,836608.61,10079.62,83,Regular,Melbourne
389,2025-12-28,3,77,1031289.25,12891.12,80,Premium,Adelaide
390,2025-12-15,16,50,746952.48,14364.47,52,Budget,Sydney
391,2025-12-30,1,61,652170.22,9881.37,66,Budget,Adelaide
392,2025-12-30,1,65,1043995.84,15352.88,68,Regular,Melbourne
393,2025-12-23,8,86,976185.06,11220.52,87,Budget,Adelaide
394,2025-12-30,1,77,573775.85,7172.2,80,Budget,Adelaide
395,2025-12-27,4,72,1202277.13,15819.44,76,Premium,Adelaide
396,2025-12-30,1,64,793520.01,11500.29,69,Premium,Adelaide
397,2025-12-23,8,68,683944.54,9499.23,72,Regular,Sydney
398,2025-12-08,23,59,567286.93,9299.79,61,Budget,Brisbane
