date,city,temp_celsius,rainfall_mm,is_rainy
2024-05-03,Sydney,37.1,0.0,False
2024-05-04,Sydney,35.4,0.0,False
2024-05-05,Sydney,36.1,11.7,True
2024-05-06,Sydney,40.6,0.0,False
2024-05-07,Sydney,39.7,0.0,False
2024-05-08,Sydney,39.4,0.0,False
2024-05-09,Sydney,36.7,3.0,True
2024-05-10,Sydney,37.2,0.0,False
2024-05-11,Sydney,36.6,0.0,False
2024-05-12,Sydney,30.7,38.4,True
2024-05-13,Sydney,35.9,0.0,False
2024-05-14,Sydney,40.1,0.0,False
2024-05-15,Sydney,41.5,0.0,False
2024-05-16,Sydney,37.5,0.0,False
2024-05-17,Sydney,33.5,0.0,False
2024-05-18,Sydney,30.7,0.0,False
2024-05-19,Sydney,36.9,0.0,False
2024-05-20,Sydney,35.7,0.0,False
2024-05-21,Sydney,39.6,0.0,False
2024-05-22,Sydney,35.7,0.0,False
2024-05-23,Sydney,38.7,0.0,False
2024-05-24,Sydney,32.0,0.0,False
2024-05-25,Sydney,38.1,0.0,False
2024-05-26,Sydney,36.8,0.0,False
2024-05-27,Sydney,42.0,0.0,False
2024-05-28,Sydney,38.8,0.0,False
2024-05-29,Sydney,38.7,0.0,False
2024-05-30,Sydney,35.8,0.0,False
2024-05-31,Sydney,35.5,0.0,False
2024-06-01,Sydney,35.5,1.6,True
2024-06-02,Sydney,36.9,0.0,False
2024-06-03,Sydney,38.3,0.0,False
2024-06-04,Sydney,38.8,0.0,False
2024-06-05,Sydney,35.4,0.0,False
2024-06-06,Sydney,34.4,,False
2024-06-07,Sydney,39.7,26.2,True
2024-06-08,Sydney,36.7,54.2,True
2024-06-09,Sydney,39.4,15.3,True
2024-06-10,Sydney,37.2,0.0,False
2024-06-11,Sydney,37.9,0.0,False
2024-06-12,Sydney,37.7,3.7,True
2024-06-13,Sydney,37.8,0.0,False
2024-06-14,Sydney,34.7,3.9,True
2024-06-15,Sydney,36.3,0.0,False
2024-06-16,Sydney,33.8,29.0,True
2024-06-17,Sydney,42.3,0.0,False
2024-06-18,Sydney,34.0,31.6,True
2024-06-19,Sydney,33.1,18.0,True
2024-06-20,Sydney,35.9,0.0,False
2024-06-21,Sydney,38.0,37.6,True
2024-06-22,Sydney,33.5,0.0,False
2024-06-23,Sydney,32.4,0.0,False
2024-06-24,Sydney,35.3,17.8,True
2024-06-25,Sydney,32.9,0.0,False
2024-06-26,Sydney,34.5,26.7,True
2024-06-27,Sydney,33.5,12.4,True
2024-06-28,Sydney,36.1,0.0,False
2024-06-29,Sydney,32.4,0.0,False
2024-06-30,Sydney,34.4,0.0,False
2024-07-01,Sydney,37.8,0.0,False
2024-07-02,Sydney,36.3,0.0,False
2024-07-03,Sydney,37.1,0.0,False
2024-07-04,Sydney,35.2,26.1,True
2024-07-05,Sydney,31.8,0.0,False
2024-07-06,Sydney,34.5,14.8,True
2024-07-07,Sydney,38.5,0.0,False
2024-07-08,Sydney,37.4,0.0,False
2024-07-09,Sydney,33.7,0.0,False
2024-07-10,Sydney,33.8,0.0,False
2024-07-11,Sydney,36.4,2.1,True
2024-07-12,Sydney,34.6,29.9,True
2024-07-13,Sydney,33.3,44.1,True
2024-07-14,Sydney,37.0,31.4,True
2024-07-15,Sydney,32.8,5.5,True
2024-07-16,Sydney,30.8,4.3,True
2024-07-17,Sydney,31.9,0.0,False
2024-07-18,Sydney,34.3,4.5,True
2024-07-19,Sydney,38.9,18.0,True
2024-07-20,Sydney,31.1,0.0,False
2024-07-21,Sydney,35.9,23.8,True
2024-07-22,Sydney,38.1,0.0,False
2024-07-23,Sydney,34.8,0.0,False
2024-07-24,Sydney,31.4,0.0,False
2024-07-25,Sydney,30.6,0.0,False
2024-07-26,Sydney,31.1,0.0,False
2024-07-27,Sydney,29.7,0.0,False
2024-07-28,Sydney,31.2,21.6,True
2024-07-29,Sydney,30.9,0.0,False
2024-07-30,Sydney,33.1,0.0,False
2024-07-31,Sydney,30.7,24.8,True
2024-08-01,Sydney,29.7,0.0,False
2024-08-02,Sydney,28.7,0.0,False
2024-08-03,Sydney,32.2,0.0,False
2024-08-04,Sydney,34.5,11.2,True
2024-08-05,Sydney,30.9,1.2,True
2024-08-06,Sydney,32.7,0.0,False
2024-08-07,Sydney,32.4,0.7,True
2024-08-08,Sydney,31.1,0.0,False
2024-08-09,Sydney,28.7,0.0,False
2024-08-10,Sydney,35.4,0.0,False
2024-08-11,Sydney,31.9,9.3,True
2024-08-12,Sydney,25.3,0.0,False
2024-08-13,Sydney,26.5,8.8,True
2024-08-14,Sydney,25.0,0.0,False
2024-08-15,Sydney,28.2,0.0,False
2024-08-16,Sydney,30.4,3.6,True
2024-08-17,Sydney,33.0,7.6,True
2024-08-18,Sydney,28.3,7.2,True
2024-08-19,Sydney,24.5,0.7,True
2024-08-20,Sydney,27.7,2.2,True
2024-08-21,Sydney,34.0,0.0,False
2024-08-22,Sydney,31.0,9.2,True
2024-08-23,Sydney,28.1,9.6,True
2024-08-24,Sydney,30.2,0.0,False
2024-08-25,Sydney,27.8,0.0,False
2024-08-26,Sydney,25.5,0.0,False
2024-08-27,Sydney,27.6,0.0,False
2024-08-28,Sydney,22.2,0.0,False
2024-08-29,Sydney,28.0,0.0,False
2024-08-30,Sydney,28.3,0.0,False
2024-08-31,Sydney,23.7,22.8,True
2024-09-01,Sydney,24.4,0.0,False
2024-09-02,Sydney,28.2,0.4,True
2024-09-03,Sydney,23.8,0.0,False
2024-09-04,Sydney,27.6,8.9,True
2024-09-05,Sydney,26.0,2.2,True
2024-09-06,Sydney,26.7,26.2,True
2024-09-07,Sydney,21.9,0.0,False
2024-09-08,Sydney,21.0,3.7,True
2024-09-09,Sydney,26.4,28.3,True
2024-09-10,Sydney,30.7,0.0,False
2024-09-11,Sydney,25.7,1.4,True
2024-09-12,Sydney,24.8,0.0,False
2024-09-13,Sydney,19.7,16.0,True
2024-09-14,Sydney,23.8,2.3,True
2024-09-15,Sydney,22.6,22.2,True
2024-09-16,Sydney,24.2,19.3,True
2024-09-17,Sydney,17.3,0.0,False
2024-09-18,Sydney,20.3,4.8,True
2024-09-19,Sydney,25.7,7.9,True
2024-09-20,Sydney,21.7,0.0,False
2024-09-21,Sydney,21.5,0.0,False
2024-09-22,Sydney,25.6,0.0,False
2024-09-23,Sydney,27.1,0.0,False
2024-09-24,Sydney,25.8,0.0,False
2024-09-25,Sydney,17.4,23.2,True
2024-09-26,Sydney,22.1,0.0,False
2024-09-27,Sydney,19.9,7.1,True
2024-09-28,Sydney,26.8,2.3,True
2024-09-29,Sydney,19.5,0.0,False
2024-09-30,Sydney,26.2,0.0,False
2024-10-01,Sydney,22.9,3.3,True
2024-10-02,Sydney,25.7,0.0,False
2024-10-03,Sydney,20.8,0.0,False
2024-10-04,Sydney,21.5,0.0,False
2024-10-05,Sydney,21.8,7.0,True
2024-10-06,Sydney,18.8,0.0,False
2024-10-07,Sydney,19.7,0.0,False
2024-10-08,Sydney,21.5,0.0,False
2024-10-09,Sydney,23.0,0.0,False
2024-10-10,Sydney,19.0,0.0,False
2024-10-11,Sydney,19.9,0.0,False
2024-10-12,Sydney,19.8,0.0,False
2024-10-13,Sydney,23.0,0.0,False
2024-10-14,Sydney,20.0,6.6,True
2024-10-15,Sydney,22.0,0.0,False
2024-10-16,Sydney,23.3,0.0,False
2024-10-17,Sydney,23.1,0.0,False
2024-10-18,Sydney,17.2,0.0,False
2024-10-19,Sydney,21.3,0.0,False
2024-10-20,Sydney,17.4,0.0,False
2024-10-21,Sydney,19.2,0.0,False
2024-10-22,Sydney,18.7,0.0,False
2024-10-23,Sydney,16.3,0.0,False
2024-10-24,Sydney,21.2,0.0,False
2024-10-25,Sydney,17.4,0.0,False
2024-10-26,Sydney,18.6,6.2,True
2024-10-27,Sydney,19.2,0.0,False
2024-10-28,Sydney,17.1,0.0,False
2024-10-29,Sydney,21.2,0.0,False
2024-10-30,Sydney,22.7,3.5,True
2024-10-31,Sydney,14.6,0.0,False
2024-11-01,Sydney,15.4,0.0,False
2024-11-02,Sydney,25.6,0.0,False
2024-11-03,Sydney,15.8,0.0,False
2024-11-04,Sydney,16.6,0.0,False
2024-11-05,Sydney,23.1,0.0,False
2024-11-06,Sydney,18.6,0.0,False
2024-11-07,Sydney,16.9,0.0,False
2024-11-08,Sydney,18.4,0.0,False
2024-11-09,Sydney,23.6,0.0,False
2024-11-10,Sydney,18.4,0.0,False
2024-11-11,Sydney,18.6,0.0,False
2024-11-12,Sydney,16.4,0.0,False
2024-11-13,Sydney,18.1,0.0,False
2024-11-14,Sydney,15.7,0.0,False
2024-11-15,Sydney,20.3,8.8,True
2024-11-16,Sydney,16.3,0.0,False
2024-11-17,Sydney,13.3,0.0,False
2024-11-18,Sydney,17.7,0.0,False
2024-11-19,Sydney,20.0,0.0,False
2024-11-20,Sydney,20.9,0.0,False
2024-11-21,Sydney,16.7,0.0,False
2024-11-22,Sydney,17.1,0.0,False
2024-11-23,Sydney,19.1,0.0,False
2024-11-24,Sydney,16.7,0.0,False
2024-11-25,Sydney,20.2,0.0,False
2024-11-26,Sydney,16.9,0.0,False
2024-11-27,Sydney,14.9,40.4,True
2024-11-28,Sydney,18.3,0.0,False
2024-11-29,Sydney,15.7,0.0,False
2024-11-30,Sydney,14.8,0.0,False
2024-12-01,Sydney,16.2,0.0,False
2024-12-02,Sydney,17.1,0.0,False
2024-12-03,Sydney,14.9,0.0,False
2024-12-04,Sydney,18.2,0.0,False
2024-12-05,Sydney,12.9,0.0,False
2024-12-06,Sydney,16.0,0.0,False
2024-12-07,Sydney,16.2,0.0,False
2024-12-08,Sydney,13.7,0.0,False
2024-12-09,Sydney,22.5,0.0,False
2024-12-10,Sydney,16.3,0.0,False
2024-12-11,Sydney,18.3,0.0,False
2024-12-12,Sydney,15.9,0.0,False
2024-12-13,Sydney,13.9,0.0,False
2024-12-14,Sydney,13.8,0.0,False
2024-12-15,Sydney,15.1,0.0,False
2024-12-16,Sydney,16.2,0.0,False
2024-12-17,Sydney,13.5,0.0,False
2024-12-18,Sydney,14.5,0.0,False
2024-12-19,Sydney,23.1,0.0,False
2024-12-20,Sydney,17.3,0.0,False
2024-12-21,Sydney,15.4,0.0,False
2024-12-22,Sydney,14.0,0.0,False
2024-12-23,Sydney,14.5,0.0,False
2024-12-24,Sydney,18.1,3.7,True
2024-12-25,Sydney,16.6,0.0,False
2024-12-26,Sydney,20.1,0.0,False
2024-12-27,Sydney,16.3,0.0,False
2024-12-28,Sydney,19.8,0.0,False
2024-12-29,Sydney,17.8,0.0,False
2024-12-30,Sydney,16.2,0.0,False
2024-12-31,Sydney,17.8,0.0,False
2025-01-01,Sydney,18.3,0.0,False
2025-01-02,Sydney,17.2,0.0,False
2025-01-03,Sydney,19.8,0.0,False
2025-01-04,Sydney,17.3,0.0,False
2025-01-05,Sydney,18.3,0.0,False
2025-01-06,Sydney,17.9,0.0,False
2025-01-07,Sydney,19.0,0.0,False
2025-01-08,Sydney,18.2,0.0,False
2025-01-09,Sydney,18.3,0.0,False
2025-01-10,Sydney,22.2,0.0,False
2025-01-11,Sydney,17.0,0.0,False
2025-01-12,Sydney,19.8,0.0,False
2025-01-13,Sydney,16.2,3.5,True
2025-01-14,Sydney,22.3,4.8,True
2025-01-15,Sydney,25.5,0.0,False
2025-01-16,Sydney,17.5,0.0,False
2025-01-17,Sydney,24.6,0.0,False
2025-01-18,Sydney,18.1,0.0,False
2025-01-19,Sydney,19.7,0.0,False
2025-01-20,Sydney,17.4,0.0,False
2025-01-21,Sydney,26.2,0.0,False
2025-01-22,Sydney,22.1,2.7,True
2025-01-23,Sydney,17.3,0.0,False
2025-01-24,Sydney,21.5,0.0,False
2025-01-25,Sydney,20.6,0.0,False
2025-01-26,Sydney,20.7,0.0,False
2025-01-27,Sydney,19.1,0.0,False
2025-01-28,Sydney,22.1,0.0,False
2025-01-29,Sydney,18.5,27.2,True
2025-01-30,Sydney,23.4,0.0,False
2025-01-31,Sydney,16.8,0.0,False
2025-02-01,Sydney,19.3,0.0,False
2025-02-02,Sydney,20.5,0.0,False
2025-02-03,Sydney,25.6,0.0,False
2025-02-04,Sydney,25.7,0.0,False
2025-02-05,Sydney,24.0,0.0,False
2025-02-06,Sydney,22.3,0.0,False
2025-02-07,Sydney,26.4,29.2,True
2025-02-08,Sydney,24.0,0.0,False
2025-02-09,Sydney,23.3,17.2,True
2025-02-10,Sydney,19.8,0.0,False
2025-02-11,Sydney,25.9,0.0,False
2025-02-12,Sydney,26.4,0.0,False
2025-02-13,Sydney,22.9,0.0,False
2025-02-14,Sydney,28.1,0.0,False
2025-02-15,Sydney,26.6,0.0,False
2025-02-16,Sydney,28.1,0.0,False
2025-02-17,Sydney,24.0,0.0,False
2025-02-18,Sydney,22.7,0.0,False
2025-02-19,Sydney,22.5,0.0,False
2025-02-20,Sydney,26.8,0.0,False
2025-02-21,Sydney,21.6,0.0,False
2025-02-22,Sydney,21.9,0.0,False
2025-02-23,Sydney,24.4,0.0,False
2025-02-24,Sydney,26.7,0.0,False
2025-02-25,Sydney,24.3,0.0,False
2025-02-26,Sydney,29.3,0.0,False
2025-02-27,Sydney,30.0,0.0,False
2025-02-28,Sydney,20.2,0.0,False
2025-03-01,Sydney,28.2,0.0,False
2025-03-02,Sydney,25.8,0.0,False
2025-03-03,Sydney,29.7,0.0,False
2025-03-04,Sydney,28.8,0.0,False
2025-03-05,Sydney,28.1,0.0,False
2025-03-06,Sydney,27.5,0.0,False
2025-03-07,Sydney,24.1,0.0,False
2025-03-08,Sydney,34.1,0.0,False
2025-03-09,Sydney,25.3,0.0,False
2025-03-10,Sydney,33.0,0.0,False
2025-03-11,Sydney,30.5,0.0,False
2025-03-12,Sydney,27.6,0.0,False
2025-03-13,Sydney,27.4,0.0,False
2025-03-14,Sydney,25.2,0.0,False
2025-03-15,Sydney,29.5,0.0,False
2025-03-16,Sydney,25.4,0.0,False
2025-03-17,Sydney,32.7,0.0,False
2025-03-18,Sydney,30.6,0.0,False
2025-03-19,Sydney,30.0,0.5,True
2025-03-20,Sydney,31.0,0.0,False
2025-03-21,Sydney,29.5,0.0,False
2025-03-22,Sydney,30.0,0.0,False
2025-03-23,Sydney,35.5,0.0,False
2025-03-24,Sydney,33.6,0.0,False
2025-03-25,Sydney,32.7,0.0,False
2025-03-26,Sydney,29.9,0.0,False
2025-03-27,Sydney,26.4,0.0,False
2025-03-28,Sydney,32.8,0.0,False
2025-03-29,Sydney,31.9,0.0,False
2025-03-30,Sydney,31.2,0.0,False
2025-03-31,Sydney,31.7,0.0,False
2025-04-01,Sydney,29.1,0.0,False
2025-04-02,Sydney,29.9,0.0,False
2025-04-03,Sydney,35.1,0.0,False
2025-04-04,Sydney,27.0,0.0,False
2025-04-05,Sydney,35.0,0.0,False
2025-04-06,Sydney,36.6,0.0,False
2025-04-07,Sydney,34.2,0.0,False
2025-04-08,Sydney,34.2,0.0,False
2025-04-09,Sydney,30.9,0.0,False
2025-04-10,Sydney,31.3,0.0,False
2025-04-11,Sydney,32.4,0.0,False
2025-04-12,Sydney,30.2,,False
2025-04-13,Sydney,31.6,0.0,False
2025-04-14,Sydney,34.1,0.0,False
2025-04-15,Sydney,32.8,0.0,False
2025-04-16,Sydney,34.6,0.0,False
2025-04-17,Sydney,36.9,0.0,False
2025-04-18,Sydney,34.8,0.0,False
2025-04-19,Sydney,35.6,8.4,True
2025-04-20,Sydney,31.9,,False
2025-04-21,Sydney,34.9,0.0,False
2025-04-22,Sydney,35.7,0.0,False
2025-04-23,Sydney,32.7,0.0,False
2025-04-24,Sydney,37.5,0.0,False
2025-04-25,Sydney,33.0,0.0,False
2025-04-26,Sydney,39.2,0.0,False
2025-04-27,Sydney,33.2,0.0,False
2025-04-28,Sydney,32.0,0.0,False
2025-04-29,Sydney,36.7,0.0,False
2025-04-30,Sydney,37.3,0.0,False
2025-05-01,Sydney,37.4,0.0,False
2025-05-02,Sydney,36.6,0.0,False
2025-05-03,Sydney,38.7,0.0,False
2025-05-04,Sydney,39.0,0.0,False
2025-05-05,Sydney,35.7,1.8,True
2025-05-06,Sydney,37.2,0.0,False
2025-05-07,Sydney,33.7,0.0,False
2025-05-08,Sydney,33.1,0.0,False
2025-05-09,Sydney,38.0,0.0,False
2025-05-10,Sydney,31.4,0.0,False
2025-05-11,Sydney,41.6,0.0,False
2025-05-12,Sydney,34.5,0.0,False
2025-05-13,Sydney,39.5,3.4,True
2025-05-14,Sydney,40.1,,False
2025-05-15,Sydney,34.3,0.0,False
2025-05-16,Sydney,39.6,0.0,False
2025-05-17,Sydney,32.8,0.0,False
2025-05-18,Sydney,34.0,0.0,False
2025-05-19,Sydney,31.7,0.0,False
2025-05-20,Sydney,34.5,0.0,False
2025-05-21,Sydney,41.1,0.0,False
2025-05-22,Sydney,36.5,0.0,False
2025-05-23,Sydney,36.3,0.0,False
2025-05-24,Sydney,37.6,0.0,False
2025-05-25,Sydney,43.9,0.0,False
2025-05-26,Sydney,34.3,0.0,False
2025-05-27,Sydney,35.0,0.0,False
2025-05-28,Sydney,33.5,0.0,False
2025-05-29,Sydney,37.9,0.0,False
2025-05-30,Sydney,38.3,0.0,False
2025-05-31,Sydney,37.9,0.0,False
2025-06-01,Sydney,35.7,3.0,True
2025-06-02,Sydney,36.8,1.7,True
2025-06-03,Sydney,36.9,5.0,True
2025-06-04,Sydney,36.7,0.2,True
2025-06-05,Sydney,36.9,5.4,True
2025-06-06,Sydney,35.5,14.4,True
2025-06-07,Sydney,40.2,0.0,False
2025-06-08,Sydney,37.4,2.2,True
2025-06-09,Sydney,34.7,0.0,False
2025-06-10,Sydney,37.9,0.0,False
2025-06-11,Sydney,36.8,0.0,False
2025-06-12,Sydney,38.8,0.0,False
2025-06-13,Sydney,39.5,2.2,True
2025-06-14,Sydney,37.7,20.0,True
2025-06-15,Sydney,37.6,0.0,False
2025-06-16,Sydney,40.0,0.0,False
2025-06-17,Sydney,34.4,0.0,False
2025-06-18,Sydney,36.8,28.3,True
2025-06-19,Sydney,40.2,17.1,True
2025-06-20,Sydney,39.7,1.1,True
2025-06-21,Sydney,37.7,,True
2025-06-22,Sydney,38.1,15.6,True
2025-06-23,Sydney,35.5,0.0,False
2025-06-24,Sydney,34.6,3.4,True
2025-06-25,Sydney,35.0,4.2,True
2025-06-26,Sydney,39.2,9.8,True
2025-06-27,Sydney,33.0,25.8,True
2025-06-28,Sydney,36.4,12.5,True
2025-06-29,Sydney,36.9,15.2,True
2025-06-30,Sydney,35.0,7.9,True
2025-07-01,Sydney,34.6,4.9,True
2025-07-02,Sydney,33.3,0.0,False
2025-07-03,Sydney,31.3,3.4,True
2025-07-04,Sydney,37.0,0.0,False
2025-07-05,Sydney,33.3,0.0,False
2025-07-06,Sydney,45.5,27.0,True
2025-07-07,Sydney,36.4,0.0,False
2025-07-08,Sydney,37.4,2.1,True
2025-07-09,Sydney,31.7,0.0,False
2025-07-10,Sydney,34.6,21.9,True
2025-07-11,Sydney,31.8,,True
2025-07-12,Sydney,31.0,0.0,False
2025-07-13,Sydney,31.7,0.0,False
2025-07-14,Sydney,35.9,14.3,True
2025-07-15,Sydney,38.8,3.3,True
2025-07-16,Sydney,34.3,0.7,True
2025-07-17,Sydney,32.9,4.5,True
2025-07-18,Sydney,34.0,22.6,True
2025-07-19,Sydney,36.8,16.4,True
2025-07-20,Sydney,32.8,48.9,True
2025-07-21,Sydney,28.8,0.0,False
2025-07-22,Sydney,32.4,0.0,False
2025-07-23,Sydney,33.6,0.0,False
2025-07-24,Sydney,35.1,12.8,True
2025-07-25,Sydney,34.7,0.0,False
2025-07-26,Sydney,33.8,0.0,False
2025-07-27,Sydney,30.5,0.0,False
2025-07-28,Sydney,29.8,0.0,False
2025-07-29,Sydney,32.4,12.8,True
2025-07-30,Sydney,31.3,0.0,False
2025-07-31,Sydney,33.3,0.0,False
2025-08-01,Sydney,30.3,0.0,False
2025-08-02,Sydney,32.4,0.0,False
2025-08-03,Sydney,32.1,0.0,False
2025-08-04,Sydney,31.2,0.0,False
2025-08-05,Sydney,28.0,0.0,False
2025-08-06,Sydney,29.3,1.9,True
2025-08-07,Sydney,27.6,18.6,True
2025-08-08,Sydney,30.0,11.8,True
2025-08-09,Sydney,30.0,0.0,False
2025-08-10,Sydney,35.0,143.4,True
2025-08-11,Sydney,30.0,0.0,False
2025-08-12,Sydney,30.2,0.0,False
2025-08-13,Sydney,27.8,0.2,True
2025-08-14,Sydney,26.6,9.0,True
2025-08-15,Sydney,28.2,3.8,True
2025-08-16,Sydney,34.2,0.0,False
2025-08-17,Sydney,32.9,0.0,False
2025-08-18,Sydney,31.9,7.8,True
2025-08-19,Sydney,27.0,9.3,True
2025-08-20,Sydney,29.3,12.9,True
2025-08-21,Sydney,32.7,8.3,True
2025-08-22,Sydney,29.8,12.9,True
2025-08-23,Sydney,26.6,0.0,False
2025-08-24,Sydney,27.2,60.9,True
2025-08-25,Sydney,33.8,3.1,True
2025-08-26,Sydney,26.4,25.8,True
2025-08-27,Sydney,22.8,12.4,True
2025-08-28,Sydney,26.4,0.0,False
2025-08-29,Sydney,24.8,3.3,True
2025-08-30,Sydney,26.3,0.0,False
2025-08-31,Sydney,23.5,0.0,False
2025-09-01,Sydney,25.3,0.0,False
2025-09-02,Sydney,25.1,1.0,True
2025-09-03,Sydney,32.6,0.0,False
2025-09-04,Sydney,28.9,4.3,True
2025-09-05,Sydney,30.0,0.3,True
2025-09-06,Sydney,26.8,0.0,False
2025-09-07,Sydney,26.4,8.2,True
2025-09-08,Sydney,26.0,7.5,True
2025-09-09,Sydney,25.7,11.5,True
2025-09-10,Sydney,27.4,9.2,True
2025-09-11,Sydney,22.0,0.0,False
2025-09-12,Sydney,27.6,0.0,False
2025-09-13,Sydney,22.7,4.0,True
2025-09-14,Sydney,22.9,0.0,False
2025-09-15,Sydney,24.0,43.1,True
2025-09-16,Sydney,24.0,1.5,True
2025-09-17,Sydney,22.5,0.0,False
2025-09-18,Sydney,21.8,27.0,True
2025-09-19,Sydney,23.4,0.6,True
2025-09-20,Sydney,26.9,0.0,False
2025-09-21,Sydney,25.0,25.0,True
2025-09-22,Sydney,24.0,0.0,False
2025-09-23,Sydney,26.7,0.0,False
2025-09-24,Sydney,20.7,4.6,True
2025-09-25,Sydney,22.0,0.0,False
2025-09-26,Sydney,19.3,16.2,True
